Expression,Group
3.26968514790246,101-200
4.50663231961824,101-200
4.62508961958425,101-200
2.9116646843460297,101-200
5.2177758581221525,101-200
2.24670309750076,101-200
3.1526547170336903,101-200
5.85443485099118,101-200
2.92120450098655,101-200
4.53776837609384,101-200
1.87263382583441,101-200
3.41483319371841,101-200
3.48950373771489,101-200
5.17826597412318,101-200
3.05369995781662,101-200
5.05149044182502,101-200
2.02775829970103,101-200
2.21583188076564,101-200
6.54052470679245,101-200
1.40619097212438,101-200
0.6539556855378289,101-200
2.3996971922593,101-200
3.01828409707443,101-200
4.56844184553505,101-200
4.67047955910518,101-200
3.19874360055512,101-200
3.968411389018721,101-200
5.1823238898892,101-200
4.15617713328922,101-200
5.86625480803223,201-300
5.4286258671648895,201-300
5.04614234888967,201-300
0.626118952324593,201-300
0.8861546320683579,201-300
6.05463175339388,201-300
5.802091024853669,201-300
-0.2789301709838599,201-300
2.41005746395038,201-300
4.283474576685109,201-300
5.41048884612795,201-300
2.46667825373127,201-300
4.7686667619697,201-300
3.70319998201519,201-300
5.785633232089619,201-300
2.71629701582143,201-300
2.62389425504141,201-300
1.6854613791717905,201-300
3.20789943989492,201-300
1.41235865857025,201-300
4.22372972041686,201-300
3.32402409105212,201-300
0.8859029503334659,201-300
1.90059814334369,201-300
3.6698026794454894,201-300
2.9558094487917,201-300
2.07896773359267,201-300
4.0442302311609,201-300
3.76479180718691,201-300
5.90051755168368,201-300
3.82298980308759,201-300
4.8281805184011,201-300
1.63458284483566,201-300
5.5927613337551705,201-300
5.20891084996647,201-300
3.554548561499,201-300
3.38212759558456,201-300
1.67884211379112,201-300
3.5974997445181205,201-300
4.56428182969087,201-300
4.10205061461612,201-300
4.1389826705175485,201-300
4.1653795807985095,201-300
2.3611327745984503,201-300
3.04537983375141,201-300
4.0718963338958405,201-300
3.40970044028112,201-300
3.57375267436349,201-300
4.63593998010633,201-300
2.0283596944973303,201-300
1.6268651003853,201-300
3.55985363660798,201-300
3.46085084271686,201-300
3.11006987531026,201-300
1.697600045087,201-300
4.17860914091501,201-300
5.41436239170779,201-300
3.0928107617514504,201-300
3.34046945594121,201-300
2.49292818484403,201-300
4.45368759523131,201-300
1.3533736719396396,201-300
4.0867802299636695,201-300
2.70436047397932,201-300
2.3215950627657,201-300
0.620824248248959,201-300
5.405384091519611,201-300
3.5381311887966698,201-300
4.82718313574241,201-300
4.83366976218501,201-300
1.83743100291708,201-300
5.80409865845736,201-300
5.24580977737551,201-300
4.10113217810667,201-300
4.1179828571781805,201-300
3.2724457171593704,201-300
2.79177882600751,201-300
4.10152192305624,201-300
-0.431662989080339,201-300
0.722780602380466,201-300
4.06298156594001,201-300
2.38845092315348,201-300
4.809419809542541,201-300
3.0858117462488104,201-300
3.4132659566707098,201-300
1.89385903256527,201-300
2.35554406054513,201-300
4.84911802971021,201-300
0.115338769245704,201-300
3.62900530774938,201-300
2.6091052767293,201-300
0.544755153243605,201-300
4.24407816805903,201-300
1.50651039207836,201-300
3.87178082012653,201-300
2.70365054785906,201-300
2.0789562350079502,201-300
2.48849530712215,201-300
3.36528446784711,201-300
5.77087956452397,201-300
2.7199611866824003,301-400
2.36191819747659,301-400
3.9398725146417,301-400
2.52668817921589,301-400
1.81538042503228,301-400
1.36106030737961,301-400
5.480652215404941,301-400
3.3183474433287103,301-400
4.54567661373637,301-400
2.32607370200883,301-400
5.59325896839368,301-400
3.2951912742997904,301-400
5.09690810435159,301-400
3.5573639343590804,301-400
5.940464247389411,301-400
3.7611684831087295,301-400
3.53967411195862,301-400
2.9598072865836094,301-400
3.59053559647094,301-400
6.03700419523718,301-400
4.55695744167127,301-400
4.32858396982934,301-400
3.61319854601194,301-400
4.8797920867904505,301-400
3.0647035510194804,301-400
3.90651350084404,301-400
2.27386767479966,301-400
3.68051550280583,301-400
2.92258676693584,301-400
3.05155933042619,301-400
5.173305271745809,301-400
3.95011033202412,301-400
2.25959214406589,301-400
4.0302754481102,301-400
1.7276431646728605,301-400
5.82438025176254,301-400
4.16076919713654,301-400
4.405284826478799,301-400
1.61944376338239,301-400
5.579202608269,301-400
2.10882206520569,301-400
2.02522571761885,301-400
2.21213957645558,301-400
5.387498678571332,301-400
3.3967376659121,301-400
4.02925256873127,301-400
3.19088703123022,301-400
5.00252588968529,301-400
4.68086626933269,301-400
5.26008604466647,301-400
1.32812340596919,301-400
2.18535776726315,301-400
1.11214917327843,301-400
2.0766408415468702,301-400
2.58955196267871,301-400
3.5946458870261098,301-400
3.6330762451019103,301-400
1.5811206468632502,301-400
5.49040061902299,301-400
1.97348221233938,301-400
-0.331826069962523,301-400
5.601140520501361,301-400
5.2131667237564026,301-400
5.67886195177338,301-400
2.43045699656182,301-400
1.5714832734156798,301-400
5.4201399516910005,301-400
2.99501135550368,301-400
6.120383626711839,301-400
3.41069482554093,301-400
3.44102444795392,301-400
2.95296044366081,301-400
0.4528099363410829,301-400
4.32380693739595,301-400
5.89366535442584,301-400
5.08199231010283,301-400
3.91579542032884,301-400
6.517629756969511,301-400
4.23963189899561,301-400
4.5056555754042105,301-400
1.49230408148984,301-400
2.26323199538892,301-400
2.34884468617214,301-400
3.20923819804272,301-400
2.95795490814236,301-400
4.68471285334274,301-400
1.82612590969142,301-400
2.63453346698264,301-400
5.40280304191787,301-400
2.43459262259232,301-400
3.70041302735763,301-400
3.24020371260881,301-400
3.99633989927185,301-400
5.05547870155334,301-400
3.41206334188767,301-400
5.01081269236853,301-400
4.12512384206593,301-400
5.58642657459937,301-400
1.99353461584842,301-400
4.21622640954982,301-400
1.7749066901279,401-500
5.052042641737089,401-500
4.28973127952772,401-500
3.708758427989701,401-500
1.3853164837235,401-500
4.33306703630947,401-500
2.08224428415972,401-500
3.58461975130184,401-500
2.43316264512764,401-500
3.4593079970294305,401-500
2.81297965894427,401-500
2.88041222178038,401-500
4.60890503783567,401-500
3.75849236625822,401-500
4.30718120562062,401-500
3.4788330647577297,401-500
0.950502533124498,401-500
4.6219728570873615,401-500
2.02456909750032,401-500
4.608389354336549,401-500
2.34454464661382,401-500
3.14466952577366,401-500
4.3347962131147,401-500
3.95732399804205,401-500
5.922202987341301,401-500
5.7413545963812105,401-500
1.71931022979209,401-500
5.26271267436737,401-500
2.7164163339293097,401-500
3.1317238978782003,401-500
3.7275998814166,401-500
1.9369299744659496,401-500
2.46022068565754,401-500
5.6836300531972,401-500
4.57219541877149,401-500
5.74557695761767,401-500
4.01830761159388,401-500
-0.199712767344728,401-500
4.6223274387560975,401-500
3.99024117324688,401-500
0.76334136990278,401-500
3.7111842810198894,401-500
1.86348577105632,401-500
2.04283904461971,401-500
4.62992759611233,401-500
6.5817910219881925,401-500
4.45209315022503,401-500
3.6896480355874,401-500
1.1774076785201102,401-500
5.58788754665398,401-500
1.55994781576383,401-500
0.4508966082163479,401-500
4.87028682117775,401-500
3.02031451741878,401-500
5.66613879355296,401-500
5.28268820854656,401-500
4.1082324370836405,401-500
1.68536559450517,401-500
3.9796824097805095,401-500
0.655348620726915,401-500
3.5476108139694,401-500
4.92145719648176,401-500
3.85125836986516,401-500
4.19030737242535,401-500
4.49413875707375,401-500
3.64468446560737,401-500
5.437091970846112,401-500
4.13614376053832,401-500
6.21215894784296,401-500
5.016203348573519,401-500
3.4114242642000097,401-500
3.01745699453365,401-500
4.70495286250621,401-500
3.70435486910246,401-500
3.77472664694798,401-500
3.43789671018063,401-500
5.09705499794067,401-500
6.78192096348165,401-500
1.14706492159849,401-500
3.891956605321,401-500
3.48846634469682,401-500
3.02082322690141,401-500
2.19933184484448,401-500
0.5275927850361289,401-500
-0.266368289003732,401-500
3.4955833189672405,401-500
1.40218793429515,401-500
4.720295870512019,401-500
5.492427368831692,401-500
2.99433586164439,401-500
0.6009320561705369,401-500
5.15608878801082,401-500
4.34447694922812,401-500
5.77654491939013,401-500
2.02236940687722,401-500
6.89336557536484,401-500
4.56329501106432,401-500
3.46125777083213,401-500
2.894694906764,401-500
-0.4463723581671799,401-500
