Expression,Group
3.7979542709692495,101-200
4.93292776589609,101-200
3.99319410169833,101-200
6.06124307736741,101-200
4.8843066226992695,101-200
4.87094549716466,101-200
3.3697248815437697,101-200
1.46421168606382,101-200
2.06474024502745,101-200
5.532244771832651,101-200
3.35334755614792,101-200
6.43590506409014,101-200
3.14376953868411,101-200
5.467385353447889,101-200
4.364265862799972,101-200
3.75713376400726,101-200
5.781099956690558,101-200
5.690567174473691,101-200
5.5979327365885485,101-200
4.45524557222588,101-200
5.468635577998531,101-200
3.07819881874667,101-200
5.02358452872384,101-200
5.113361861428019,101-200
5.8744338797471,101-200
4.6632461448551785,101-200
5.440932305839372,101-200
3.2338086470254,101-200
4.32685667682084,101-200
5.4684936280171215,101-200
5.003831987714499,101-200
2.43373403302525,101-200
2.42290618128402,101-200
2.83531251913589,101-200
5.702281265112621,101-200
6.13051492790442,101-200
2.54856559596763,101-200
7.575070879869679,101-200
5.71920518588454,101-200
4.74710160443827,101-200
6.53316132994301,101-200
6.08766968097668,101-200
5.40900834639403,101-200
4.29939208177227,101-200
3.28185806872828,101-200
3.73881313100503,101-200
2.6264316880269303,101-200
5.52444660581441,101-200
5.20638407839334,101-200
5.389492978803671,101-200
5.8368423155574725,101-200
4.80490468207933,101-200
4.58572379775093,101-200
5.12868582096825,101-200
4.04105929718399,101-200
2.79937071198742,101-200
5.44868472195855,101-200
4.0801302649459,101-200
4.09543337602979,101-200
5.126281107062789,101-200
8.01563941493459,101-200
4.836534329860269,101-200
4.12018893263019,101-200
4.05921601293229,101-200
0.270634254293618,101-200
2.63139465873575,101-200
3.28332730967062,101-200
7.0181284659045176,101-200
4.235090712135681,101-200
2.882986479182589,101-200
3.70246549886587,101-200
5.80585305381001,101-200
5.649873391415452,101-200
4.71442588560149,101-200
4.86178619136704,101-200
4.19296357468104,101-200
4.78265077518527,101-200
4.12394417240092,101-200
3.416923572063,101-200
5.647476743508741,101-200
2.71009027295555,101-200
2.67442308393148,101-200
5.834670299950662,101-200
2.54255336212277,101-200
4.23317796579642,101-200
5.44931580242137,101-200
3.65401040596107,101-200
2.90436937825077,101-200
2.16747463194528,101-200
5.115978136500581,101-200
2.7815857807699595,101-200
7.059956393349872,101-200
3.92764414174797,101-200
7.10809477447649,101-200
6.57061957175002,201-300
4.30947690107634,201-300
3.79478754475221,201-300
2.78898893038431,201-300
5.5982059202074,201-300
5.712728522896709,201-300
6.1945784192344,201-300
2.83487772681486,201-300
3.805687129595501,201-300
7.528553194208079,201-300
6.76335757532534,201-300
5.88962998743793,201-300
3.86906241419068,201-300
5.98474844039036,201-300
5.240851979977821,201-300
5.101687451772911,201-300
4.24824684136218,201-300
3.86674959480491,201-300
0.483377755634891,201-300
6.34005118618976,201-300
2.59553896024392,201-300
2.34692041346446,201-300
3.16029469505384,201-300
1.35472276444865,201-300
4.59527026962539,201-300
6.1135359671229415,201-300
3.97677067525832,201-300
4.2163095294611095,201-300
2.11109690409434,201-300
6.00911264984241,201-300
6.873763797151001,201-300
3.0962753880312,201-300
3.58983464023538,201-300
5.339948471879009,201-300
5.85674695405955,201-300
3.9492542615402297,201-300
4.76386192301054,201-300
4.66807867691132,201-300
5.383835596278192,201-300
4.92790131412433,201-300
4.61134240101165,201-300
4.639425020926451,201-300
6.2893631956392095,201-300
5.40046267021754,201-300
0.105553095244994,201-300
3.2067637833135096,201-300
3.48964105684052,201-300
5.9837699418802215,201-300
2.64382478828806,201-300
